Company,Round_Size_USD,Stage,Vertical,Sub_Vertical,Location_City,Location_Country,Region,AI_Related,Valuation_USD,Lead_Investors,Date_Announced
OpenAI,40000000000,Growth,AI,Foundation Models,San Francisco,USA,North America,Yes,500000000000,SoftBank,Mar-2025
Scale AI,14300000000,Growth,AI,Data/Training,San Francisco,USA,North America,Yes,29000000000,Meta,Jun-2025
Anthropic,13000000000,Series F,AI,Foundation Models,San Francisco,USA,North America,Yes,183000000000,"Iconiq, Fidelity, Lightspeed",Sep-2025
Project Prometheus,6200000000,Series A,AI,Physical AI,San Francisco,USA,North America,Yes,,Jeff Bezos,Nov-2025
xAI,5300000000,Growth,AI,Foundation Models,San Francisco,USA,North America,Yes,,Multiple,Summer-2025
Databricks,4000000000,Series L,AI,Data Infrastructure,San Francisco,USA,North America,Yes,134000000000,"Insight Partners, Fidelity, JP Morgan",Dec-2025
Anthropic,3500000000,Series E,AI,Foundation Models,San Francisco,USA,North America,Yes,61500000000,Lightspeed Venture Partners,Mar-2025
Anduril Industries,2500000000,Series G,Defense Tech,Defense,Costa Mesa,USA,North America,Yes,30500000000,Founders Fund,Jun-2025
Anysphere (Cursor),2300000000,Series D,AI,Developer Tools,San Francisco,USA,North America,Yes,29300000000,"Thrive Capital, Accel, a16z, DST, Coatue",Nov-2025
Polymarket,2000000000,Growth,Fintech,Prediction Markets,New York,USA,North America,No,8000000000,Intercontinental Exchange,Oct-2025
Reflection AI,2000000000,Series B,AI,Coding Agent,New York,USA,North America,Yes,8000000000,Nvidia,Oct-2025
Safe Superintelligence,2000000000,Series B,AI,Safety/Alignment,Palo Alto,USA,North America,Yes,32000000000,Greenoaks Capital,Apr-2025
Thinking Machines Lab,2000000000,Seed,AI,Foundation Models,San Francisco,USA,North America,Yes,12000000000,"a16z, Nvidia, Accel, AMD",Jul-2025
Binance,2000000000,Growth,Crypto,Exchange,Dubai,UAE,Middle East,No,,MGX (Abu Dhabi),Mar-2025
Mistral AI,2000000000,Series C,AI,Foundation Models,Paris,France,Europe,Yes,13200000000,ASML,Sep-2025
Revolut,2000000000,Late Stage,Fintech,Neobank,London,UK,Europe,No,,,2025
Lambda,1500000000,Series E,AI,Infrastructure,San Francisco,USA,North America,Yes,,TWG Global,Nov-2025
Crusoe Energy,1400000000,Growth,AI,Data Centers,Denver,USA,North America,Yes,,"Mubadala, Valor Equity Partners",Oct-2025
Cerebras Systems,1100000000,Series G,AI,Infrastructure,Sunnyvale,USA,North America,Yes,8100000000,"Fidelity, Atreides Management",2025
Base Power,1000000000,Growth,Cleantech,Energy Storage,Austin,USA,North America,No,,Addition,Oct-2025
Kalshi,1000000000,Series E,Fintech,Prediction Markets,New York,USA,North America,No,11000000000,"Sequoia, CapitalG, Paradigm",Nov-2025
Grammarly,1000000000,Growth,AI,Writing,San Francisco,USA,North America,Yes,,General Catalyst,May-2025
