Category,Metric,Value,Notes
Overall,Total AI Funding 2025,$202.3B,75% YoY increase
Overall,Q3 Global VC Funding,$97B,38% YoY increase
Overall,US Share of AI Funding,79%,$159B total
Overall,SF Bay Area AI Funding,$122B,76% of US AI funding
Overall,Megarounds Share (Nov),43%,14 companies at $500M+ each

Stage Analysis,Median Series A,7900000,US Q1 2025
Stage Analysis,AI Seed Premium,42%,vs non-AI startups
Stage Analysis,Median AI Seed Valuation,17900000,Pre-money
Stage Analysis,Mega Seed Rounds (2025),$3.6B+,Record high
Stage Analysis,Seed Rounds $10M+,700,Near all-time high

Vertical - AI,AI Share of Global Funding,48-50%,Up from 34% in 2024
Vertical - AI,AI Infrastructure,$15-20B,Lambda Cerebras etc
Vertical - Defense Tech,Defense Tech Total,$7.7B,140% YoY increase
Vertical - Defense Tech,New Defense Unicorns,10,Most ever in single year
Vertical - Robotics,Robotics Total,$8.5B,Best since 2021
Vertical - Cybersecurity,Cybersecurity Q1,$2.7B,29% up from Q4
Vertical - Cleantech,Cleantech YTD,$8.7B,46% decline YoY
Vertical - Biotech,Biotech Q2 First Financings,$900M,65% decline from Q1
Vertical - Consumer D2C,D2C Funding 2024,$3.9B,18% decline from 2023

Geography - US,US Total AI Funding,$159B,79% of global AI
Geography - US,SF Bay Area,$122B,Dominant hub
Geography - Europe,European VC,~$30-40B,UK France Germany lead
Geography - Europe,Deep Tech Spinouts,$9.1B,Near all-time high
Geography - Asia,Asia H1 Total,$26.2B,33% decline YoY
Geography - Asia,Singapore YoY Change,+202%,Bright spot
Geography - Asia,India 2025,$11B,5 new unicorns
Geography - Asia,China Q2,$5.1B,34% decline YoY

Top Valuations,OpenAI,$500B,Most valuable private company ever
Top Valuations,Anthropic,$183B,4th most valuable unicorn
Top Valuations,Databricks,$134B,After $4B Series L
Top Valuations,Thinking Machines Lab,$10B,At $2B seed
Top Valuations,Cognition AI,$10.2B,After $400M Series C
Top Valuations,Ramp,$32B,After $300M extension
Top Valuations,Zepto,$7B,Indian quick commerce
